Player,position_clean,Age,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank
Elic Ayomanor,WR,23.1,2486,3441.2,2772.6,7.28125,1.0,Unclassified,99
Tank Bigsby,RB,24.8,2476,2227.0,2401.3,5.204798221588135,3.0,Unclassified,99
Tre Tucker,WR,25.3,2475,3893.5,2900.6,8.23825740814209,3.0,Unclassified,99
Pat Bryant,WR,23.6,2462,2992.0,2621.0,6.3307695388793945,1.0,Unclassified,99
Skyler Bell,WR,24.0,2448,734.4,1933.9,0.0,0.0,Unclassified,99
Jalen Nailor,WR,27.3,2423,3697.0,2805.2,7.822499752044678,2.0,Unclassified,99
Keon Coleman,WR,23.1,2423,3748.0,2820.5,7.930476188659668,2.0,Unclassified,99
David Njoku,TE,30.0,2421,7572.1,3966.3,12.150496482849121,4.0,Unclassified,99
Elijah Arroyo,TE,23.2,2417,2693.6,2500.0,4.3222222328186035,1.0,Unclassified,99
Chimere Dike,WR,24.5,2413,3441.2,2721.5,7.28125,1.0,Unclassified,99
Dontayvion Wicks,WR,25.0,2398,3716.6,2793.6,7.864065647125244,3.0,Unclassified,99
Ollie Gordon,RB,22.4,2384,1950.4,2253.9,4.558333396911621,1.0,Unclassified,99
Mason Taylor,TE,22.1,2379,4165.8,2915.0,6.684615612030029,1.0,Unclassified,99
Ja'Kobi Lane,WR,,2378,713.4,1878.6,0.0,0.0,Unclassified,99
Kyle Williams,WR,23.6,2370,2495.4,2407.6,5.279999732971191,1.0,Unclassified,99
Kaleb Johnson,RB,22.9,2359,427.9,1779.7,1.0,1.0,Unclassified,99
Max Klare,TE,23.0,2351,705.3,1857.3,0.0,0.0,Unclassified,99
Brian Robinson,RB,27.3,2348,4805.7,3085.3,11.231471061706543,4.0,Unclassified,99
Isiah Pacheco,RB,27.3,2326,4470.3,2969.3,10.447428703308105,4.0,Unclassified,99
Juwan Johnson,TE,29.8,2317,5947.9,3406.3,9.544295310974121,4.0,Unclassified,99
Cade Otton,TE,27.2,2313,5750.2,3344.2,9.226984024047852,4.0,Unclassified,99
Aaron Jones,RB,31.6,2290,6112.3,3436.7,14.284950256347656,4.0,Unclassified,99
Mike Washington Jr.,RB,,2284,685.2,1804.4,0.0,0.0,Unclassified,99
Sean Tucker,RB,24.7,2278,2972.8,2486.4,6.947727203369141,2.0,Unclassified,99
Geno Smith,QB,35.7,2265,6902.9,3656.4,17.034099578857422,4.0,Unclassified,99
Jake Tonges,TE,27.0,2261,6039.3,3394.5,9.690909385681152,1.0,Unclassified,99
Trey Benson,RB,23.9,2245,1675.9,2074.3,3.9166667461395264,1.0,Unclassified,99
Jalen Milroe,QB,23.5,2241,672.3,1770.4,0.0,0.0,Unclassified,99
Hunter Henry,TE,31.6,2234,6117.0,3398.9,9.815634727478027,4.0,Unclassified,99
Anthony Richardson,QB,24.1,2210,6534.0,3507.2,16.12363624572754,1.0,Unclassified,99
Theo Johnson,TE,25.3,2195,4966.4,3026.4,7.96928596496582,2.0,Unclassified,99
Michael Mayer,TE,25.0,2191,3464.6,2573.1,5.559394359588623,3.0,Unclassified,99
Carson Beck,QB,,2189,656.7,1729.3,0.0,0.0,Unclassified,99
Pat Freiermuth,TE,27.7,2186,5754.6,3256.6,9.234127044677734,4.0,Unclassified,99
Jaylen Wright,RB,23.2,2185,1628.9,2018.2,3.8069443702697754,2.0,Unclassified,99
Dalton Schultz,TE,30.0,2177,6758.1,3551.3,10.84445858001709,4.0,Unclassified,99
Brandon Aiyuk,WR,28.3,2169,5667.0,3218.4,11.990864753723145,3.0,Unclassified,99
Deshaun Watson,QB,30.8,2162,5424.3,3140.7,13.385477066040039,2.0,Unclassified,99
MarShawn Lloyd,RB,25.5,2152,645.6,1700.1,0.0,0.0,Unclassified,99
Stefon Diggs,WR,32.6,2145,7817.8,3846.8,16.54189109802246,4.0,Unclassified,99
Kimani Vidal,RB,24.8,2145,2834.4,2351.8,6.624359130859375,2.0,Unclassified,99
Jordan James,RB,22.2,2126,637.8,1679.5,0.0,0.0,Unclassified,99
Marvin Mims,WR,24.3,2125,3377.3,2500.7,7.146063327789307,3.0,Unclassified,99
Tez Johnson,WR,24.1,2089,3639.1,2554.0,7.700000286102295,1.0,Unclassified,99
Jaydon Blue,RB,22.5,2069,620.7,1634.5,0.0,0.0,Unclassified,99
DJ Giddens,RB,22.8,2063,618.9,1629.8,0.0,0.0,Unclassified,99
Justin Fields,QB,27.3,2055,7366.2,3648.4,18.17733383178711,4.0,Unclassified,99
LeQuint Allen,RB,21.9,2055,770.2,1669.6,1.7999999523162842,1.0,Unclassified,99
Rashod Bateman,WR,26.6,2052,3389.6,2453.3,7.172157287597656,3.0,Unclassified,99
Alvin Kamara,RB,30.9,2042,7244.2,3602.7,16.930513381958008,4.0,Unclassified,99
Darnell Mooney,WR,28.7,2034,4518.5,2779.4,9.560757637023926,4.0,Unclassified,99
Emanuel Wilson,RB,27.1,2032,1987.8,2018.7,4.645798206329346,3.0,Unclassified,99
Devin Neal,RB,22.9,2032,2852.5,2278.1,6.666666507720947,1.0,Unclassified,99
Jaylin Lane,WR,24.2,2029,1684.2,1925.6,3.563636541366577,1.0,Unclassified,99
Trevor Etienne,RB,22.0,2028,670.3,1620.7,1.5666667222976685,1.0,Unclassified,99
Ja'Tavion Sanders,TE,23.2,2017,3583.3,2486.9,5.75,2.0,Unclassified,99
