name,position,nfl_team,age,owner,on_taxi,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank,is_my_team
J.J. McCarthy,QB,MIN,23,Akracoon,False,2823.0,5648.2,3670.6,13.938000679016113,1.0,Upside Shot,7,False
Chris Brazzell,WR,CAR,22,Akracoon,False,2630.0,789.0,2077.7,0.0,0.0,Jag Developmental,10,False
Andrei Iosivas,WR,CIN,26,Akracoon,False,1661.0,3345.1,2166.2,7.077906131744385,3.0,Jag Insurance,11,False
Dak Prescott,QB,DAL,32,Akracoon,False,4958.0,7930.2,5849.7,19.56908416748047,4.0,Productive Vet,5,False
Jacoby Brissett,QB,ARI,33,Akracoon,False,2666.0,5428.4,3494.7,13.395384788513184,3.0,Serviceable,9,False
Aaron Jones,RB,MIN,31,Akracoon,False,2241.0,6112.3,3402.4,14.284950256347656,4.0,Short-term Production,8,False
Ja'Tavion Sanders,TE,CAR,23,Akracoon,True,2070.0,3583.3,2524.0,5.75,2.0,Jag Developmental,10,False
David Njoku,TE,LAC,29,Akracoon,False,2454.0,7572.1,3989.4,12.150496482849121,4.0,Mainstay,4,False
Quentin Johnston,WR,LAC,24,Akracoon,False,3372.0,5050.8,3875.6,10.687088012695312,3.0,Mainstay,4,False
Joe Flacco,QB,CIN,41,Akracoon,False,1098.0,6611.8,2752.1,16.315664291381836,3.0,Short-term Production,8,False
Malik Nabers,WR,NYG,22,Akracoon,False,7610.0,8557.4,7894.2,18.106666564941406,1.0,Cornerstone,1,False
Malachi Fields,WR,NYG,22,Akracoon,False,2708.0,812.4,2139.3,0.0,0.0,Jag Developmental,10,False
Jameis Winston,QB,NYG,32,Akracoon,False,1396.0,5125.9,2515.0,12.649090766906738,1.0,Jag Insurance,11,False
Kenneth Gainwell,RB,TB,27,Akracoon,False,2857.0,3600.0,3079.9,8.413557052612305,4.0,Jag Insurance,11,False
Jalen Coker,WR,CAR,24,Akracoon,False,3090.0,4739.3,3584.8,10.027999877929688,2.0,Serviceable,9,False
Cole Kmet,TE,CHI,27,Akracoon,False,1970.0,6304.7,3270.4,10.116825103759766,4.0,Serviceable,9,False
Cade Klubnik,QB,NYJ,22,Akracoon,True,1791.0,537.3,1414.9,0.0,0.0,Replaceable,12,False
Justin Fields,QB,KC,27,Akracoon,False,2059.0,7366.2,3651.2,18.17733383178711,4.0,Serviceable,9,False
Isiah Pacheco,RB,DET,27,Akracoon,False,2347.0,4470.3,2984.0,10.447428703308105,4.0,Jag Insurance,11,False
Tank Dell,WR,HOU,26,Akracoon,False,2535.0,6443.8,3707.6,13.634614944458008,2.0,Serviceable,9,False
Elijah Sarratt,WR,BAL,23,Akracoon,False,2786.0,835.8,2200.9,0.0,0.0,Jag Developmental,10,False
Hunter Henry,TE,NE,31,Akracoon,False,2264.0,6117.0,3419.9,9.815634727478027,4.0,Serviceable,9,False
Bhayshul Tuten,RB,JAX,23,Akracoon,False,3952.0,2715.6,3581.1,6.34666633605957,1.0,Upside Shot,7,False
Kyle Monangai,RB,CHI,23,Akracoon,False,3655.0,3598.7,3638.1,8.410526275634766,1.0,Upside Shot,7,False
Nicholas Singleton,RB,TEN,22,Akracoon,True,2937.0,881.1,2320.2,0.0,0.0,Jag Developmental,10,False
Fernando Mendoza,QB,LV,22,Akracoon,False,5637.0,1691.1,4453.2,0.0,0.0,Upside Shot,7,False
Mack Hollins,WR,NE,32,Akracoon,False,1103.0,3993.4,1970.1,8.449779510498047,4.0,Serviceable,9,False
Tyler Warren,TE,IND,24,GiantHawkTua,False,5806.0,6910.1,6137.2,11.088234901428223,1.0,Upside Premier,3,False
Tua Tagovailoa,QB,ATL,28,GiantHawkTua,False,2710.0,7069.1,4017.7,17.444204330444336,4.0,Serviceable,9,False
Ollie Gordon,RB,MIA,22,GiantHawkTua,False,2343.0,1950.4,2225.2,4.558333396911621,1.0,Jag Developmental,10,False
Kyle Pitts,TE,ATL,25,GiantHawkTua,False,4445.0,6070.5,4932.6,9.741045951843262,4.0,Mainstay,4,False
Nico Collins,WR,HOU,27,GiantHawkTua,False,5605.0,7785.9,6259.3,16.47435188293457,4.0,Foundational,2,False
Malik Willis,QB,MIA,27,GiantHawkTua,False,3952.0,1185.6,3122.1,0.0,0.0,Upside Shot,7,False
Denzel Boston,WR,CLE,22,GiantHawkTua,False,3448.0,1034.4,2723.9,0.0,0.0,Jag Developmental,10,False
Terry McLaurin,WR,WAS,30,GiantHawkTua,False,3470.0,6663.1,4427.9,14.098529815673828,4.0,Short-term Production,8,False
Isaiah Likely,TE,NYG,26,GiantHawkTua,False,3379.0,5145.9,3909.1,8.257394790649414,4.0,Serviceable,9,False
Braelon Allen,RB,NYJ,22,GiantHawkTua,False,2661.0,2144.4,2506.0,5.011765003204346,1.0,Jag Developmental,10,False
Alec Pierce,WR,IND,26,GiantHawkTua,False,4063.0,5353.0,4450.0,11.326587677001953,4.0,Mainstay,4,False
Mike Washington,RB,LV,22,GiantHawkTua,True,2514.0,2758.9,2587.5,5.837700843811035,2.0,Serviceable,9,False
Amon-Ra St. Brown,WR,DET,26,GiantHawkTua,False,7812.0,9491.0,8315.7,20.08208656311035,4.0,Cornerstone,1,False
Emanuel Wilson,RB,SEA,27,GiantHawkTua,False,2074.0,1987.8,2048.1,4.645798206329346,3.0,Jag Insurance,11,False
Jalen Hurts,QB,PHI,27,GiantHawkTua,False,6201.0,9388.7,7157.3,23.168283462524414,4.0,Foundational,2,False
J.K. Dobbins,RB,DEN,27,GiantHawkTua,False,2939.0,5235.0,3627.8,12.234761238098145,3.0,Mainstay,4,False
Blake Corum,RB,LAR,25,GiantHawkTua,False,3279.0,2133.7,2935.4,4.986666679382324,2.0,Serviceable,9,False
David Montgomery,RB,HOU,28,GiantHawkTua,False,3402.0,5808.2,4123.9,13.574390411376953,4.0,Serviceable,9,False
Rashid Shaheed,WR,SEA,27,GiantHawkTua,False,2879.0,4342.5,3318.0,9.188311576843262,3.0,Serviceable,9,False
Will Howard,QB,PIT,24,GiantHawkTua,True,1990.0,597.0,1572.1,0.0,0.0,Jag Developmental,10,False
Kenneth Walker,RB,KC,25,GiantHawkTua,False,5429.0,6177.0,5653.4,14.436325073242188,4.0,Mainstay,4,False
Joe Burrow,QB,CIN,29,GiantHawkTua,False,7432.0,8443.8,7735.5,20.83638572692871,4.0,Cornerstone,1,False
Dylan Sampson,RB,CLE,21,GiantHawkTua,False,2741.0,2744.5,2742.0,6.414285182952881,1.0,Upside Shot,7,False
